index,code,work_date,md_13,n_d13,p_d13,cls_13,cls_17,cls_25,ec_13,ec_17,ec_25,sc_13,sc_17,sc_25,high,low,pclose,pctchg,close,hec,hsc,df13,chr,hhr,clr,llr
1434,sh.603963,2021-12-16,2021-12-01,15,15,1,1,1,7.17,7.17,7.17,6.93,6.59,6.59,7.21,7.14,7.15,0,7.15,7.17,6.93,N,-0.28,0.559,3.077,2.937
1441,sh.603977,2021-12-16,2021-12-15,1,30,8,8,8,11.42,11.42,11.42,9.45,9.77,9.45,11.58,11.13,11.42,-1.051,11.3,11.42,9.77,N,-1.051,1.401,13.398,11.909
1444,sh.603980,2021-12-16,2021-12-14,2,15,2,1,1,6.33,6.33,6.33,6.02,6.02,5.91,6.34,6.26,6.27,0,6.27,6.33,6.02,N,-0.957,0.159,3.987,3.828
1447,sh.603985,2021-12-16,2021-12-15,1,8,8,8,-8,53.86,53.86,46.4,46.4,46.4,54.41,55.5,52.5,53.86,-1.411,53.1,53.86,54.41,N,-2.432,2.024,-1.411,-2.525
1452,sh.603990,2021-12-16,2021-12-15,1,8,1,1,1,20.76,20.76,20.76,18.14,17.37,17.37,20.86,20.39,20.76,-0.53,20.65,20.76,18.14,N,-0.53,0.482,12.091,10.838
1476,sz.000021,2021-12-16,2021-12-15,1,16,2,1,2,16.51,16.51,16.51,15.31,15.31,15.31,16.73,16.4,16.51,-0.061,16.5,16.51,15.31,N,-0.061,1.333,7.208,6.602
1478,sz.000025,2021-12-16,2021-12-03,13,15,3,1,1,15.17,15.17,15.17,14.41,13.92,13.92,15.24,14.99,15.09,-0.464,15.02,15.17,14.41,N,-0.994,0.464,4.042,3.844
1484,sz.000031,2021-12-16,2021-12-15,1,16,1,2,1,3.59,3.59,3.59,3.32,3.32,3.24,3.62,3.55,3.59,-0.836,3.56,3.59,3.32,N,-0.836,0.836,6.685,6.407
1487,sz.000035,2021-12-16,2021-12-14,2,4,9,9,7,5.89,5.89,5.89,5.29,5.29,4.62,5.98,5.78,5.89,-1.019,5.83,5.89,5.29,N,-1.019,1.528,9.168,8.319
1498,sz.000050,2021-12-16,2021-12-14,2,15,1,1,1,13.17,13.17,13.17,12.35,12.35,12.06,13.22,12.99,13.08,-0.076,13.07,13.17,12.35,N,-0.765,0.382,5.505,4.893
1520,sz.000151,2021-12-16,2021-12-15,1,16,5,4,2,8.14,8.14,8.14,7.65,7.65,7.53,8.17,8.06,8.14,-0.246,8.12,8.14,7.65,N,-0.246,0.369,5.774,5.037
1531,sz.000400,2021-12-16,2021-12-15,1,6,9,9,9,31.78,31.78,31.78,25.54,24.75,17.3,31.94,30.22,31.78,-3.398,30.7,31.78,25.54,N,-3.398,0.503,16.237,14.726
1540,sz.000411,2021-12-16,2021-12-15,1,9,6,5,5,15.6,15.6,15.6,12.45,12.45,12.45,16.52,14.9,15.6,-2.756,15.17,15.6,12.45,N,-2.756,5.897,17.436,15.705
1568,sz.000516,2021-12-16,2021-12-09,7,20,3,4,5,12.03,12.03,12.03,10.61,10.61,10.61,12.04,11.75,11.93,-0.587,11.86,12.03,10.61,N,-1.425,0.084,10.478,9.556
1584,sz.000534,2021-12-16,2021-12-14,2,18,9,9,9,18.72,18.72,18.72,15.91,15.85,12.94,19.05,18.26,18.52,-0.81,18.37,18.72,15.91,N,-1.89,1.782,13.283,12.689
1586,sz.000537,2021-12-16,2021-12-15,1,13,9,9,9,28.3,28.3,28.3,19.1,19.1,15.54,28.39,26.04,28.3,-5.972,26.61,28.3,19.1,N,-5.972,0.318,26.537,24.523
1602,sz.000555,2021-12-16,2021-12-01,15,34,1,1,1,12.5,12.5,12.5,11.07,11.07,11.07,12.72,12.44,12.37,0.97,12.49,12.5,11.07,N,-0.081,1.778,11.479,11.075
1620,sz.000582,2021-12-16,2021-12-15,1,16,1,1,1,8.14,8.14,8.14,7.64,7.64,7.37,8.25,7.97,8.14,-0.123,8.13,8.14,7.64,N,-0.123,1.351,6.02,4.054
1636,sz.000601,2021-12-16,2021-12-09,7,10,2,1,1,5.2,5.2,5.2,4.77,4.76,4.76,5.25,5.11,5.18,-0.193,5.17,5.2,4.77,N,-0.579,0.965,7.722,6.564
1653,sz.000623,2021-12-16,2021-12-09,7,10,6,5,5,17.5,17.5,17.5,16.41,16.35,15.78,17.53,17.24,17.26,0.985,17.43,17.5,16.41,N,-0.406,0.174,5.91,4.809
1663,sz.000635,2021-12-16,2021-12-02,14,27,7,7,8,13.28,13.28,13.28,10.07,10.07,10.07,13.3,12.73,12.83,3.274,13.25,13.28,10.07,N,-0.234,0.156,24.786,20.733
1670,sz.000652,2021-12-16,2021-11-30,16,12,1,1,2,4.11,4.11,4.11,3.96,3.88,3.88,4.12,4.05,4.07,0.737,4.1,4.11,3.96,N,-0.246,0.246,3.44,2.211
1674,sz.000659,2021-12-16,2021-12-15,1,9,7,7,8,4.78,4.78,4.78,4.02,4.02,4,4.85,4.59,4.78,-2.51,4.66,4.78,4.02,N,-2.51,1.464,13.389,11.925
1686,sz.000676,2021-12-16,2021-12-15,1,13,7,6,4,7.88,7.88,7.88,6.78,6.78,6.78,8.01,7.63,7.88,-1.396,7.77,7.88,6.78,N,-1.396,1.65,12.563,10.787
1692,sz.000682,2021-12-16,2021-12-15,1,16,9,9,9,9.08,9.08,9.08,7,6.83,5.96,9.76,9.02,9.08,-0.11,9.07,9.08,7,N,-0.11,7.489,22.797,22.247
1698,sz.000690,2021-12-16,2021-12-13,3,17,4,3,5,6.19,6.19,6.19,5.35,5.21,5.21,6.25,6.01,6.19,-1.131,6.12,6.19,5.35,N,-1.131,0.969,12.439,10.662
1742,sz.000755,2021-12-16,2021-12-15,1,16,9,9,9,5.04,5.04,5.04,3.87,3.87,3.5,5.15,4.86,5.04,-1.587,4.96,5.04,3.87,N,-1.587,2.183,21.627,19.643
1746,sz.000759,2021-12-16,2021-12-08,8,33,1,1,1,4.97,4.97,4.97,4.64,4.64,4.64,4.98,4.9,4.9,1.02,4.95,4.97,4.64,N,-0.408,0.204,6.327,5.306
1763,sz.000789,2021-12-16,2021-12-09,7,10,2,2,2,12.19,12.19,12.19,11.15,11.15,11.15,12.22,11.96,11.94,2.01,12.18,12.19,11.15,N,-0.084,0.251,8.626,6.784
1765,sz.000791,2021-12-16,2021-12-07,9,26,9,9,9,7.43,7.43,7.43,5.27,5.27,5.27,7.45,7.22,7.39,-1.083,7.31,7.43,5.27,N,-1.624,0.271,27.605,26.387
1768,sz.000795,2021-12-16,2021-12-01,15,16,9,9,9,10.46,10.46,10.46,5.52,5.4,5.07,10.69,9.47,9.72,-1.749,9.55,10.46,5.52,N,-9.362,2.366,41.461,40.638
1774,sz.000801,2021-12-16,2021-12-15,1,8,9,9,9,8.91,8.91,8.91,7.61,7.61,7.61,8.99,8.69,8.91,-0.449,8.87,8.91,7.61,N,-0.449,0.898,14.141,12.121
1776,sz.000803,2021-12-16,2021-12-15,1,20,9,9,9,24.13,24.13,24.13,19.6,19.6,19.6,24.81,23.75,24.13,-0.332,24.05,24.13,19.6,N,-0.332,2.818,18.442,17.199
1780,sz.000810,2021-12-16,2021-12-13,3,6,6,5,4,9.39,9.39,9.39,8.43,8.43,7.92,9.56,9.04,9.1,3.077,9.38,9.39,8.43,N,-0.11,1.868,10.44,6.703
1781,sz.000811,2021-12-16,2021-12-10,6,8,-8,9,9,12.93,14.92,14.92,14.92,12.64,12.46,15.13,13.72,14.17,4.446,14.8,14.92,14.92,N,-0.847,1.482,-0.847,-8.469
1784,sz.000815,2021-12-16,2021-12-15,1,8,7,6,4,6.6,6.6,6.6,5.92,5.92,5.34,6.65,6.49,6.6,-0.152,6.59,6.6,5.92,N,-0.152,0.758,10.152,8.636
1793,sz.000826,2021-12-16,2021-12-15,1,5,1,1,1,4.56,4.61,4.61,4.36,3.78,3.78,4.67,4.54,4.56,0,4.56,4.61,4.36,N,-1.096,1.316,4.386,3.947
1810,sz.000859,2021-12-16,2021-12-03,13,15,7,8,6,6.75,6.75,6.75,5.97,5.58,5.58,6.77,6.63,6.71,0.149,6.72,6.75,5.97,N,-0.447,0.298,11.177,9.836
1812,sz.000861,2021-12-16,2021-12-15,1,16,9,7,7,3.48,3.48,3.48,2.89,2.54,1.97,3.52,3.3,3.48,-3.736,3.35,3.48,2.89,N,-3.736,1.149,13.218,11.782
1817,sz.000875,2021-12-16,2021-12-15,1,16,9,9,9,8.94,8.94,8.94,7.13,6.31,6.31,9.05,8.68,8.94,-1.342,8.82,8.94,7.13,N,-1.342,1.23,18.904,17.338
1836,sz.000899,2021-12-16,2021-12-15,1,15,6,5,6,5.91,5.91,5.91,5.05,4.99,4.99,5.97,5.82,5.91,-0.338,5.89,5.91,5.05,N,-0.338,1.015,14.213,13.029
1852,sz.000919,2021-12-16,2021-12-14,2,8,4,4,2,6.98,6.98,6.98,6.73,6.73,6.39,7,6.93,6.96,-0.144,6.95,6.98,6.73,N,-0.431,0.287,3.161,2.874
1872,sz.000950,2021-12-16,2021-12-01,15,29,1,1,1,4.81,4.81,4.81,4.69,4.69,4.69,4.82,4.76,4.81,-0.208,4.8,4.81,4.69,N,-0.208,0.208,2.287,1.455
