index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
60,3124,10579,14306,17766,6420,8521,10395,4324,5687,6832,15225,0.69,0.94,1.17,0.42,0.56,0.68,0.28,0.37,0.45,3475.3,11882.33,28454.26,475.64,1496.42,3268.52,94.92,288.06,622.57
61,31245,5661,7750,9575,3259,4388,5318,2186,2861,3377,8138,0.7,0.95,1.18,0.4,0.54,0.65,0.27,0.35,0.41,1941.72,6644.66,15732.03,208.58,690.95,1460.46,43.03,122.67,232.75
62,31254,1249,1752,2226,754,1045,1317,517,693,853,2518,0.5,0.7,0.88,0.3,0.42,0.52,0.21,0.28,0.34,156.13,600.94,1516.96,20.36,77.42,185.18,4.79,15.21,33.53
63,3142,568,801,1061,360,502,663,244,339,443,1098,0.52,0.73,0.97,0.33,0.46,0.6,0.22,0.31,0.4,79.87,311.6,968.35,12.94,48.86,143.21,2.6,10.1,28.35
64,31425,836,1090,1332,574,746,885,388,493,587,979,0.85,1.11,1.36,0.59,0.76,0.9,0.4,0.5,0.6,513.41,1490.72,3350.59,117.89,327.48,645.17,24.83,61.63,126.79
65,31452,461,635,800,281,393,492,214,286,355,1012,0.46,0.63,0.79,0.28,0.39,0.49,0.21,0.28,0.35,44.87,158.78,394.43,6.17,23.31,57.88,1.98,6.28,15.22
66,31524,316,433,531,226,306,365,156,210,244,395,0.8,1.1,1.34,0.57,0.77,0.92,0.39,0.53,0.62,161.79,576.32,1277.64,41.85,139.7,284.22,9.25,31.26,58.15
67,31542,512,713,909,302,422,546,221,309,397,1122,0.46,0.64,0.81,0.27,0.38,0.49,0.2,0.28,0.35,49.84,186.91,483.08,5.94,23.16,64.24,1.77,6.78,17.02
68,3214,9497,12640,15478,5925,7834,9476,3955,5234,6294,12669,0.75,1,1.22,0.47,0.62,0.75,0.31,0.41,0.5,4006.55,12640,28105.7,615.15,1867.06,3997.69,117.82,360.73,786.75
69,32145,3058,4029,4972,1757,2282,2781,1196,1536,1825,4105,0.74,0.98,1.21,0.43,0.56,0.68,0.29,0.37,0.44,1239.17,3792.06,8808.2,139.69,400.76,874.44,29.17,77.8,155.46
70,32154,836,1155,1465,482,655,839,326,441,549,1623,0.52,0.71,0.9,0.3,0.4,0.52,0.2,0.27,0.34,117.55,413.39,1067.99,13.01,41.92,117.97,2.61,8.68,21.58
71,3241,2737,3910,5021,1794,2553,3277,1253,1790,2315,5231,0.52,0.75,0.96,0.34,0.49,0.63,0.24,0.34,0.44,384.84,1649.53,4442.26,70.51,300.36,819.4,17.32,70.35,197.2
72,32415,510,671,808,331,431,507,218,285,339,574,0.89,1.17,1.41,0.58,0.75,0.88,0.38,0.5,0.59,359.53,1074.68,2265,64.58,181.83,345.51,11.96,35.63,69.62
