index,cls,kpi5_3,afr5_3,kpi7_3,afr7_3,kpi9_3,afr9_3,kpi5_4,afr5_4,kpi7_4,afr7_4,kpi9_4,afr9_4,kpi5_5,afr5_5,kpi7_5,afr7_5,kpi9_5,afr9_5
15,13542,47.04,-0.784,244.13,-0.697,695.9,-0.679,5.19,-0.845,24.13,-0.805,59.34,-0.821,0.82,-0.89,4.08,-0.844,9.31,-0.861
16,1423,70.61,-0.676,275.31,-0.658,753.41,-0.653,8.73,-0.74,30.62,-0.753,85.66,-0.742,1.45,-0.805,5.92,-0.774,14.8,-0.779
17,14235,334.14,0.535,966.69,0.199,2076.27,-0.042,38.3,0.141,101.91,-0.177,220.92,-0.333,6.42,-0.138,18.5,-0.294,41.74,-0.376
18,14253,52.5,-0.759,189.55,-0.765,504.97,-0.767,8.75,-0.739,26.23,-0.788,70.86,-0.786,1.63,-0.781,5.16,-0.803,14.18,-0.788
19,1432,120.61,-0.446,490.68,-0.391,1459.3,-0.327,13.97,-0.584,52.24,-0.578,153.26,-0.538,2.74,-0.632,11.36,-0.567,28.72,-0.571
20,14325,312.8,0.437,837.1,0.039,1764,-0.186,49.83,0.484,129.08,0.042,258.59,-0.22,8.08,0.085,23.27,-0.113,45.12,-0.326
21,14352,31.56,-0.855,150.15,-0.814,435.25,-0.799,2.83,-0.916,15.13,-0.878,45.75,-0.862,0.5,-0.933,2.4,-0.908,8.21,-0.877
22,14523,73.45,-0.662,245.14,-0.696,564.47,-0.74,8.28,-0.753,29.67,-0.76,66.95,-0.798,1.51,-0.797,5.93,-0.774,14.47,-0.784
23,14532,51.66,-0.763,250.7,-0.689,684.84,-0.684,5.38,-0.84,20.9,-0.831,56.92,-0.828,0.98,-0.868,3.67,-0.86,11.36,-0.83
24,15234,36.22,-0.834,131.1,-0.837,361.85,-0.833,6.42,-0.809,21.18,-0.829,48.74,-0.853,0.94,-0.874,3.95,-0.849,8.78,-0.869
25,15243,24.47,-0.888,99.9,-0.876,262.18,-0.879,4.02,-0.88,14.74,-0.881,39.32,-0.881,0.59,-0.921,2.86,-0.891,7.21,-0.892
26,15324,56.9,-0.739,184.84,-0.771,512.28,-0.764,5.97,-0.822,20.52,-0.834,62.24,-0.812,1.28,-0.828,4.22,-0.839,12.53,-0.813
27,15342,27.2,-0.875,119.52,-0.852,487.08,-0.775,3.16,-0.906,15.1,-0.878,56.29,-0.83,0.81,-0.891,3.82,-0.854,13.07,-0.805
28,15423,31.01,-0.857,117.19,-0.855,298.13,-0.862,4.21,-0.875,15.98,-0.871,39.87,-0.88,1.01,-0.864,3.46,-0.868,8.74,-0.869
